// Compost colors for avaritia_integration. You may add your own colors, change existing ones, or remove colors that aren't needed.
asgard_dandelion, #a8a4b2
blaze_cube_bolt, #ffaf69
blaze_cube_dense_plate, #fff893
blaze_cube_double_plate, #ffd77d
blaze_cube_dust, #ffff93
blaze_cube_gear, #ffbe62
blaze_cube_long_rod, #ffb864
blaze_cube_nugget, #fff57d
blaze_cube_plate, #fff193
blaze_cube_ring, #ffb46f
blaze_cube_rod, #ffb461
blaze_cube_screw, #ffae69
blaze_cube_spring, #ff9e5f
blaze_cube_wire, #ff9341
creative_compound, #ff8ced
creative_mechanism, #ae6faa
crystal_matrix_bolt, #a1f7e0
crystal_matrix_dense_plate, #a2fbe7
crystal_matrix_double_plate, #a0f4e0
crystal_matrix_dust, #9bfef1
crystal_matrix_gear, #94eedc
crystal_matrix_long_rod, #a7fce4
crystal_matrix_nugget, #a8fbe8
crystal_matrix_plate, #b9fff2
crystal_matrix_ring, #9df5e4
crystal_matrix_rod, #91eedd
crystal_matrix_screw, #91ebda
crystal_matrix_spring, #91eed9
crystal_matrix_wire, #98f5e4
infinity_bolt, #c8cacd
infinity_capacitor, #cfcfc5
infinity_dense_plate, #fbe6f2
infinity_double_plate, #e1dad9
infinity_dust, #e7e0e8
infinity_gear, #dad3d6
infinity_grinding_ball, #e3dde0
infinity_long_rod, #b8bfc6
infinity_me_storage_component, #f0bcfa
infinity_plate, #ffeef8
infinity_ring, #dacaca
infinity_rod, #c3c8c9
infinity_screw, #ccc2d2
infinity_spring, #b9a5b4
infinity_wire, #d9dddc
neutron_bolt, #9497a8
neutron_dense_plate, #5a5b65
neutron_double_plate, #5f626c
neutron_dust, #5b5e68
neutron_grinding_ball, #4d4e5c
neutron_long_rod, #878a9d
neutron_plate, #686b76
neutron_ring, #878a98
neutron_rod, #8d90a4
neutron_screw, #9396a8
neutron_spring, #6b6e78
neutron_wire, #70727d
soarleander, #8a0f05
